publication_type	publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	coverage_depth	coverage_notes	publisher_name	linking_issn
serial	Journal of Internet Computing and services	1598-0170		2012	13		2013	14				container_iongyu3xqjbcteyykaj6uknlu4	fulltext		Korean Society for Internet Information	1598-0170
serial	Michigan Journal of Counseling Research Theory and Practice		1944-821X	2002	30		2018	43				container_ycneucnj2bdvlfpcqrii2w32bm	fulltext		Wayne State University Library System	1944-821X
serial	Journal of Hospital & Medical Management		2471-9781	2016	1		2017	3				container_yxcglqtkoje6ljtekrestixsvu	fulltext		OMICS Publishing Group	2471-9781
serial	Thrombosis	2090-1488	2090-1496	2010	2010		2017	2017				container_7l6xrnlhczgjzdfq26f3335jom	fulltext		Hindawi Limited	2090-1488
serial	International Journal of Analytical Mass Spectrometry and Chromatography	2332-1768	2332-1776	2013	1		2019	7				container_jgoxqfm5rjggvddu3o5vupwcyq	fulltext		Scientific Research Publishing, Inc	2332-1768
serial	Human Reproduction Archives		2595-0711	2017	32		2021	36				container_jyfvtwapjnhz5lhoijhctgex3y	fulltext		Editora Cubo Multimidia	2595-0711
serial	Revista Paraense de Medicina	0101-5907		2006	20		2007	21				container_eqozmjtrlvfqjd6af3nixuwtzm	fulltext		Instituto Evandro Chagas	0101-5907
serial	International Journal on Pavement Engineering & Asphalt Technology	2051-8234	2051-8234	2013	14		2015	16				container_syeqyfqaqrgznp2jcm7i7fjkw4	fulltext		De Gruyter Open Sp. z o.o.	2051-8234
serial	Journal of the Korean Dietetic Association	1225-9861		2013	19		2014	20				container_jud7hjaudnduphhy56jiyyb6j4	fulltext		The Korea Dietetic Association	1225-9861
serial	Information Technologies and Control	1312-2622	1312-2622	2013	11		2017	15				container_namzbh5gwfc5pcrrwoyh72enqe	fulltext		De Gruyter Open Sp. z o.o.	1312-2622
