publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	coverage_notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	oclc_number
Cash Box Magazine	0008-7289		1942-08	3	47	1996-11	60	8	https://archive.org/details/cashbox		cashbox		fulltext			serial								F	
CoEvolution Quarterly	0095-134X		1974-01		1	1984-01		43	https://archive.org/details/coevolutionquarterly		coevolutionquarterly		fulltext		Point Foundation	serial								F	1795678
The Labour Gazette	0023-6926		1901-01	1		1975-01	75		https://archive.org/details/labourgazette		labourgazette		fulltext		Canada Department of Labour, Public Relations Branch	serial								F	924492943
Anatomia Clinica 1978-1981	0343-608X		1981-11	3	1	1982-04	3	4	https://archive.org/details/pub-anatomia-clinica		pub-anatomia-clinica		fulltext			serial								F	8694595
Endocrine Research Communications	0093-6391		1974-01	1	1	1982-01	9	3-4	https://archive.org/details/pub-endocrine-research-communications		pub-endocrine-research-communications		fulltext		Taylor and Francis	serial								F	
The Joint Commission Journal on Quality and Patient Safety	1553-7250		1990-01	16	1	1994-12	20	12	https://archive.org/details/pub-quality-review-bulletin		pub-quality-review-bulletin		fulltext		Elsevier Inc.	serial								F	303470349
The ----- [Blank line] 1826	2155-0026		1826-02	1	1	1826-05	1	7	https://archive.org/details/pub_-		pub_-		fulltext		Open Court Publishing Co	serial								F	4281221
0 to 9	0514-7360		1967-04		1	1969-07		6	https://archive.org/details/pub_0-to-9		pub_0-to-9		fulltext		Vito Hannibal Acconci and Bernadette Mayer	serial								F	3503630
1001 Home Ideas 1986-1991	0278-0844		1986-01		150	1991-09		217	https://archive.org/details/pub_1001-home-ideas		pub_1001-home-ideas		fulltext		Family Media, Inc.	serial								F	7701658
102 Monitor 1975-1981	0090-3574		1975-02	5	1	1981-02	11	2	https://archive.org/details/pub_102-monitor		pub_102-monitor		fulltext		Superintendent of Government Documents	serial								F	1114472512
20 et 21. Revue d'histoire	2649-664X		1965-01	27	25	2009-01		104	https://archive.org/details/pub_20-21-revue-dhistoire		pub_20-21-revue-dhistoire		fulltext		Presses de Sciences Po	serial								F	11817686
Twentieth Century British History 1990-1994	0955-2359		1990-01	1	1	1994-01	5	3	https://archive.org/details/pub_20th-century-british-history		pub_20th-century-british-history		fulltext		Oxford Publishing Limited(England)	serial								F	22481516
50 Plus 1978-1988	0163-2027		1961-03	1	1	1997-12	37	10	https://archive.org/details/pub_50-plus		pub_50-plus		fulltext			serial								F	4216344
73 Amateur Radio Today 1960-2003	1052-2522		1960-10	1	1	2003-09		514	https://archive.org/details/pub_73-amateur-radio-today		pub_73-amateur-radio-today		fulltext		Wayne Green Enterprises	serial								F	22239204
80 Micro 1980-1988	0744-7868		1980-01		1	1988-06		6	https://archive.org/details/pub_80-micro		pub_80-micro		fulltext		IDG Communications/Peterborough	serial								F	8563620
9 to 5			1972-12	1	1	1973-06	1	4	https://archive.org/details/pub_9-to-5		pub_9-to-5		fulltext		Organization for Women Office Workers	serial								F	37294510
A C H a Action (American College Health Association) 1977-1981	0002-7952		1977-07	8	1	1981-05	11	7	https://archive.org/details/pub_a-c-h-a-action-american-college-health-association		pub_a-c-h-a-action-american-college-health-association		fulltext		American College Health Association	serial								F	
A Deaf American Monograph 1888-1998	1065-7193		1888-04	1	3	1998-01	48		https://archive.org/details/pub_a-deaf-american-monograph		pub_a-deaf-american-monograph		fulltext		National Association of the Deaf	serial								F	26706450
A History - Lutheran Church in Guyana			1968-05			1968-05			https://archive.org/details/pub_a-history-lutheran-church-in-guyana		pub_a-history-lutheran-church-in-guyana		fulltext		Lutheran School of Theology	serial								F	
A M J: Agricultural Machinery Journal 1976-1987	0002-1539		1976-01	30	1	1987-10	41	10	https://archive.org/details/pub_a-m-j-agricultural-machinery-journal		pub_a-m-j-agricultural-machinery-journal		fulltext		Reed Business Information Ltd.	serial								F	1772775
A+ 1983-1989	0740-1590		1986-01	4	1	1988-12	6	12	https://archive.org/details/pub_a-plus		pub_a-plus		fulltext			serial								F	9902630
A Republican Magazine; Or, Repository of Political Truths 1798			1798-10	1	1	1798-12	1	4	https://archive.org/details/pub_a-republican-magazine-or-repository-of-political-truths		pub_a-republican-magazine-or-repository-of-political-truths		fulltext		Open Court Publishing Co	serial								F	
A Review of English Literature	0486--6053		1960-01	1	1	1967-10	8	4	https://archive.org/details/pub_a-review-of-english-literature		pub_a-review-of-english-literature		fulltext		Green and Co.	serial								F	1763824
A/Rivista Anarchica 1971-1973	0044-5592		1971-02	1	1	1973-11	3	25	https://archive.org/details/pub_a-rivista-anarchica		pub_a-rivista-anarchica		fulltext		Editrice A	serial								F	615556034
A Sack of Bran			1991-09	1	4	1991-09	1	4	https://archive.org/details/pub_a-sack-of-bran		pub_a-sack-of-bran		fulltext		Tess M. Kolney	serial								F	229659245
AI Expert 1986-1995	0888-3785		1986-01	1	1	1995-06	10	6	https://archive.org/details/pub_aI-expert		pub_aI-expert		fulltext			serial								F	13552690
AACE International Transactions 1975-2004	1528-7106		1975-01			2004-01			https://archive.org/details/pub_aace-international-transactions		pub_aace-international-transactions		fulltext		American Association of Cost Engineers	serial								F	39463235
American Association of Colleges of Pharmacy Teachers' Seminar: Proceedings 1950-1963			1950-06	1		1963-07			https://archive.org/details/pub_aacp-teachers-seminar-proceedings		pub_aacp-teachers-seminar-proceedings		fulltext		American Association of Colleges of	serial								F	
Aal-Bilad al Sa'udiyyah			1946-01		593	1958-01		2961	https://archive.org/details/pub_aal-bilad-al-sa-udiyyah		pub_aal-bilad-al-sa-udiyyah		fulltext			serial								F	
AALS News	0519-1025		1972-02			1973-04			https://archive.org/details/pub_aals-news		pub_aals-news		fulltext		Association of American Law School	serial								F	42344079
AANA Journal 1933-2014	0094-6354		1933-09			2014-12	82	6	https://archive.org/details/pub_aana-journal		pub_aana-journal		fulltext		AANA Publishing, Inc.	serial								F	1020703
AARC Times 1983-2013	0893-8520		1983-01	7	1	2013-12	37	12	https://archive.org/details/pub_aarc-times		pub_aarc-times		fulltext		American Assn for Respiratory	serial								F	941148545
AARP Modern Maturity 1995-2003	1538-5981		1995-01	38	1	2003-01	46	1	https://archive.org/details/pub_aarp-modern-maturity		pub_aarp-modern-maturity		fulltext		American Association of Retired Persons	serial								F	48911476
AARP the Magazine 2003-2013	1541-9894		2003-04	46	2	2013-10	56	6	https://archive.org/details/pub_aarp-the-magazine		pub_aarp-the-magazine		fulltext		American Association of Retired Persons	serial								F	50718933
AASA Official Report 1971-1972			1971-01			1971-01			https://archive.org/details/pub_aasa-official-report		pub_aasa-official-report		fulltext		American Association of School Administrators	serial								F	
American Association of Textile Chemists and Colorists: AATCC Review 2001-2012	1532-8813		2001-01	1	1	2012-11	12	6	https://archive.org/details/pub_aatcc-review		pub_aatcc-review		fulltext		American Association of Textile Chemists and Colorists	serial								F	45568832
AB Bookman's Weekly	0001-0340		1964-01	33	1-2	2025-09	36	10-11	https://archive.org/details/pub_ab-bookmans-weekly		pub_ab-bookmans-weekly		fulltext		AB Bookman's Weekly	serial								F	2053319
ABA Bank Marketing 1974-2010	1539-7890		1974-01	6	1	2010-12	42	10	https://archive.org/details/pub_aba-bank-marketing		pub_aba-bank-marketing		fulltext		American Bankers Association	serial								F	47969942
ABA Journal 1915-2016	0747-0088		1915-01	1	1	2015-12	101	12	https://archive.org/details/pub_aba-journal		pub_aba-journal		fulltext		American Bar Association	serial								F	10269097
Abacus 1965-2013	0001-3072		1965-09	1	1	2013-12	49	4	https://archive.org/details/pub_abacus		pub_abacus		fulltext		Blackwell Publishing Ltd.	serial								F	1460523
Abbottempo 1963-1965			1963-03	1	1	1965-11	3	4	https://archive.org/details/pub_abbottempo		pub_abbottempo		fulltext		Abbott Laboratories	serial								F	
Abdominal Imaging 1993-1999	0942-8925		1993-01	18	1	1999-11	24	6	https://archive.org/details/pub_abdominal-imaging		pub_abdominal-imaging		fulltext		Springer Science & Business Media	serial								F	27261530
Abendpost & Sonntagpost 1889-1979	0896-3762		1889-09		1	1979-12	91	52	https://archive.org/details/pub_abendpost-sonntagpost		pub_abendpost-sonntagpost		fulltext		Tribune International Corp	serial								F	1101002709
Aberdeen-Angus Journal 1919-1979	0001-3161		1919-01	50	SUPPLEMENT	1979-06	60	11	https://archive.org/details/pub_aberdeen-angus-journal		pub_aberdeen-angus-journal		fulltext		American Angus Association	serial								F	5158743
Abhandlungen der Deutschen Akademie der Wissenschaften zu Berlin. Klasse für Mathematik, Physik und Technik.	0065-5112		1945-01		1	1968-01		1	https://archive.org/details/pub_abhandlungen-awb-mathematik-physik-technik		pub_abhandlungen-awb-mathematik-physik-technik		fulltext		Akademie-Verlag Berlin	serial								F	
Abhandlungen der Deutschen Akademie der Wissenschaften zu Berlin. Klasse für Sprachen, Literatur und Kunst	0011-9733		1966-01		3	1973-01	64	3	https://archive.org/details/pub_abhandlungen-awb-sprachen-literatur-kunst		pub_abhandlungen-awb-sprachen-literatur-kunst		fulltext		Akademie-Verlag	serial								F	1478700
Abhandlungen der Koniglichen Gesellschaft der Wissenschaften zu Gottingen			1838-01	1		1895-01	40		https://archive.org/details/pub_abhandlungen-der-koniglichen-gesellschaft-der-wissenschaften-zu-gottingen		pub_abhandlungen-der-koniglichen-gesellschaft-der-wissenschaften-zu-gottingen		fulltext		Dieterichsche Buchhandlung	serial								F	889539938
Abhandlungen zur Philosophie, Psychologie und Paedagogik	0065-0366		1983-01			1984-01			https://archive.org/details/pub_abhandlungen-zur-philosophie-psychologie-und-paedagogik		pub_abhandlungen-zur-philosophie-psychologie-und-paedagogik		fulltext		Bouvier Verlag	serial								F	
ABNF Journal 2001-2011	1046-7041		2001-01	12	1	2011-12	22	1	https://archive.org/details/pub_abnf-journal		pub_abnf-journal		fulltext		Tucker Publications, Inc.	serial								F	20496528
Abolition Intelligencer and Missionary Magazine 1822-1823			1822-05	1	1	1823-03	1	11	https://archive.org/details/pub_abolition-intelligencer-and-missionary-magazine		pub_abolition-intelligencer-and-missionary-magazine		fulltext		Open Court Publishing Co	serial								F	
Abolitionist: Or Record of the New England Anti-Slavery Society 1833			1833-01	1	1	1833-12	1	12	https://archive.org/details/pub_abolitionist-or-record-of-thengland-anti-slavery-society		pub_abolitionist-or-record-of-thengland-anti-slavery-society		fulltext		Open Court Publishing Co	serial								F	
About Campus 2001	1086-4822		2001-03	6	1	2002-01	6	6	https://archive.org/details/pub_about-campus		pub_about-campus		fulltext		Wiley Subscription Services, Inc.	serial								F	33963609
About the House 1962-1992	0001-3242		1962-11	1	1	1992-06	8	11	https://archive.org/details/pub_about-the-house		pub_about-the-house		fulltext		Friends Of Covent Garden Ltd	serial								F	6754203
The Abraham Lincoln Quarterly 1948-1952			1948-03	5	1	1952-12	7	4	https://archive.org/details/pub_abraham-lincoln-quarterly		pub_abraham-lincoln-quarterly		fulltext		Abraham Lincoln Association	serial								F	477241935
Abrasive Engineering 1955-1974	0001-3277		1955-03	1	1	1974-11	20	6	https://archive.org/details/pub_abrasive-engineering		pub_abrasive-engineering		fulltext		Reed Business Information US	serial								F	923214928
Abridged Index Medicus 1973-1997	0001-3331		1973-01	4	1	1997-12	28	12	https://archive.org/details/pub_abridged-index-medicus		pub_abridged-index-medicus		fulltext		Superintendent of Government Documents	serial								F	840494489
ABSEES: Soviet and East European Abstracts Series 1987-1990	0044-5622		1964-01		1	1990-01	20	Index	https://archive.org/details/pub_absees-soviet-and-east-european-abstracts-series		pub_absees-soviet-and-east-european-abstracts-series		fulltext		ELSEVIER LTD.	serial								F	1064574469
Abside 1949-1978	0001-3382		1949-01	13	1	1978-10	42	4	https://archive.org/details/pub_abside		pub_abside		fulltext		Abside	serial								F	785797734
Abstracts of Mycology	0001-3617		1967-01	1	1	2004-08	38	8	https://archive.org/details/pub_abstract-of-mycology		pub_abstract-of-mycology		fulltext		Thomson BIOSIS	serial								F	1460590
Royal Society of London. Proceedings	0370-1662		1843-01	5	58	1850-01	5	76	https://archive.org/details/pub_abstract-of-the-papers-communicated-to-the-royal-society-of-london		pub_abstract-of-the-papers-communicated-to-the-royal-society-of-london		fulltext		Royal Society	serial								F	45610586
Abstract Service	0362-059X		1971-09		12	1976-09		63	https://archive.org/details/pub_abstract-service		pub_abstract-service		fulltext		Institute on the Church in Urban-Industrial Society	serial								F	1607711
Abstracts of papers on agricultural research in the United Kingdom			1926-10			1934-01			https://archive.org/details/pub_abstracts-agricultural-research		pub_abstracts-agricultural-research		fulltext		Wyman & Sons	serial								F	33088932
