publication_type	publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	coverage_depth	coverage_notes	publisher_name	linking_issn
serial	Cash Box Magazine	0008-7289		1942-08	3	47	1996-11	60	8			cashbox	fulltext			0008-7289
serial	CoEvolution Quarterly	0095-134X		1974-01		1	1984-01		43			coevolutionquarterly	fulltext		Point Foundation	0095-134X
serial	The Labour Gazette	0023-6926		1901-01	1		1975-01	75				labourgazette	fulltext		Canada Department of Labour, Public Relations Branch	0023-6926
serial	Anatomia Clinica 1978-1981	0343-608X		1981-11	3	1	1982-04	3	4			pub-anatomia-clinica	fulltext			0343-608X
serial	Endocrine Research Communications	0093-6391		1974-01	1	1	1982-01	9	3-4			pub-endocrine-research-communications	fulltext		Taylor and Francis	0093-6391
serial	The Joint Commission Journal on Quality and Patient Safety	1553-7250		1990-01	16	1	1994-12	20	12			pub-quality-review-bulletin	fulltext		Elsevier Inc.	1553-7250
serial	The ----- [Blank line] 1826	2155-0026		1826-02	1	1	1826-05	1	7			pub_-	fulltext		Open Court Publishing Co	2155-0026
serial	0 to 9	0514-7360		1967-04		1	1969-07		6			pub_0-to-9	fulltext		Vito Hannibal Acconci and Bernadette Mayer	0514-7360
serial	1001 Home Ideas 1986-1991	0278-0844		1986-01		150	1991-09		217			pub_1001-home-ideas	fulltext		Family Media, Inc.	0278-0844
serial	102 Monitor 1975-1981	0090-3574		1975-02	5	1	1981-02	11	2			pub_102-monitor	fulltext		Superintendent of Government Documents	0090-3574
serial	20 et 21. Revue d'histoire	2649-664X		1965-01	27	25	2009-01		104			pub_20-21-revue-dhistoire	fulltext		Presses de Sciences Po	2649-6100
serial	Twentieth Century British History 1990-1994	0955-2359		1990-01	1	1	1994-01	5	3			pub_20th-century-british-history	fulltext		Oxford Publishing Limited(England)	0955-2359
serial	50 Plus 1978-1988	0163-2027		1961-03	1	1	1997-12	37	10			pub_50-plus	fulltext			0163-2027
serial	73 Amateur Radio Today 1960-2003	1052-2522		1960-10	1	1	2003-09		514			pub_73-amateur-radio-today	fulltext		Wayne Green Enterprises	1052-2522
serial	80 Micro 1980-1988	0744-7868		1980-01		1	1988-06		6			pub_80-micro	fulltext		IDG Communications/Peterborough	0744-7868
serial	A Deaf American Monograph 1888-1998	1065-7193		1888-04	1	3	1998-01	48				pub_a-deaf-american-monograph	fulltext		National Association of the Deaf	1065-7193
serial	A M J: Agricultural Machinery Journal 1976-1987	0002-1539		1976-01	30	1	1987-10	41	10			pub_a-m-j-agricultural-machinery-journal	fulltext		Reed Business Information Ltd.	0002-1539
serial	A+ 1983-1989	0740-1590		1986-01	4	1	1988-12	6	12			pub_a-plus	fulltext			0740-1590
serial	A/Rivista Anarchica 1971-1973	0044-5592		1971-02	1	1	1973-11	3	25			pub_a-rivista-anarchica	fulltext		Editrice A	0044-5592
serial	AI Expert 1986-1995	0888-3785		1986-01	1	1	1995-06	10	6			pub_aI-expert	fulltext			0888-3785
serial	AACE International Transactions 1975-2004	1528-7106		1975-01			2004-01					pub_aace-international-transactions	fulltext		American Association of Cost Engineers	1528-7106
serial	AALS News	0519-1025		1972-02			1973-04					pub_aals-news	fulltext		Association of American Law School	0519-1025
serial	AANA Journal 1933-2014	0094-6354		1933-09			2014-12	82	6			pub_aana-journal	fulltext		AANA Publishing, Inc.	0094-6354
serial	AARC Times 1983-2013	0893-8520		1983-01	7	1	2013-12	37	12			pub_aarc-times	fulltext		American Assn for Respiratory	0893-8520
serial	AARP Modern Maturity 1995-2003	1538-5981		1995-01	38	1	2003-01	46	1			pub_aarp-modern-maturity	fulltext		American Association of Retired Persons	1538-5981
serial	AARP the Magazine 2003-2013	1541-9894		2003-04	46	2	2013-10	56	6			pub_aarp-the-magazine	fulltext		American Association of Retired Persons	1541-9894
serial	American Association of Textile Chemists and Colorists: AATCC Review 2001-2012	1532-8813		2001-01	1	1	2012-11	12	6			pub_aatcc-review	fulltext		American Association of Textile Chemists and Colorists	1532-8813
serial	AB Bookman's Weekly	0001-0340		1964-01	33	1-2	2025-09	36	10-11			pub_ab-bookmans-weekly	fulltext		AB Bookman's Weekly	0001-0340
serial	ABA Bank Marketing 1974-2010	1539-7890		1974-01	6	1	2010-12	42	10			pub_aba-bank-marketing	fulltext		American Bankers Association	1539-7890
serial	ABA Journal 1915-2016	0747-0088		1915-01	1	1	2015-12	101	12			pub_aba-journal	fulltext		American Bar Association	0747-0088
